Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL598199,,0,355.38,0,1.45,8,N#Cc1ccc(Cn2cncn2)cc1-c1ccc(OS(N)(=O)=O)cc1,IC50,'=',2.0,nM,8.7,,,UO_0000065,24.48,0.48,7.25,7.02,False,CHEMBL1681078,Inhibition of aromatase in human JEG-3 cells using [1beta-3H]androstenedione after 1 hr by scintillation spectrometry,B,BAO_0000219,cell-based format,Homo sapiens,None,None,JEG-3,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1671847,1,Scientific Literature,ACS Med. Chem. Lett.,2011.0,CHEMBL3308202,
CHEMBL1672975,,0,525.39,1,3.63,11,N#Cc1ccc(N(Cc2ccc(Br)cc2)n2cnnc2)cc1-c1ccc(OS(N)(=O)=O)cc1,IC50,'=',0.05,nM,10.3,,,UO_0000065,19.61,0.43,6.67,8.1,False,CHEMBL1681078,Inhibition of aromatase in human JEG-3 cells using [1beta-3H]androstenedione after 1 hr by scintillation spectrometry,B,BAO_0000219,cell-based format,Homo sapiens,None,None,JEG-3,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1671847,1,Scientific Literature,ACS Med. Chem. Lett.,2011.0,CHEMBL3308202,
CHEMBL592131,,0,389.82,0,2.10,9,N#Cc1ccc(Cn2cncn2)cc1-c1ccc(OS(N)(=O)=O)c(Cl)c1,IC50,'=',0.5,nM,9.3,,,UO_0000065,23.86,0.49,7.2,7.51,False,CHEMBL1681078,Inhibition of aromatase in human JEG-3 cells using [1beta-3H]androstenedione after 1 hr by scintillation spectrometry,B,BAO_0000219,cell-based format,Homo sapiens,None,None,JEG-3,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1671847,1,Scientific Literature,ACS Med. Chem. Lett.,2011.0,CHEMBL3308202,
CHEMBL166974,,0,240.33,0,3.96,12,O=C1/C(=C/c2ccsc2)CCc2ccccc21,IC50,'>',250000.0,nM,,Outside typical range,,UO_0000065,,,,,False,CHEMBL661699,In vitro inhibitory activity against Cytochrome P450 19A1 using human placental microsomes.,B,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1129578,1,Scientific Literature,J. Med. Chem.,1996.0,None,
CHEMBL1200374,EXEMESTANE,4,296.41,0,4.03,"1, Exemestane",C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,IC50,'=',50.0,nM,7.3,,,UO_0000065,24.63,0.45,3.27,21.39,False,CHEMBL3414091,Inhibition of human placental microsome aromatase using [1beta-3H] androstenedione as substrate after 15 mins by liquid scintillation counting,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL3407463,1,Scientific Literature,Eur. J. Med. Chem.,2014.0,None,
CHEMBL3407536,,0,312.41,0,3.24,2,C[C@]12C=CC(=O)C=C1[C@@]1(CO1)C[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,IC50,'=',620.0,nM,6.21,,,UO_0000065,19.87,0.37,2.97,13.3,False,CHEMBL3414091,Inhibition of human placental microsome aromatase using [1beta-3H] androstenedione as substrate after 15 mins by liquid scintillation counting,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL3407463,1,Scientific Literature,Eur. J. Med. Chem.,2014.0,None,
CHEMBL3893614,,0,271.27,0,3.55,10,Fc1cncc(-c2nc3ccc(F)cn3c2C2CC2)c1,IC50,'=',2200.0,nM,5.66,,,UO_0000065,20.86,0.39,2.11,18.74,False,CHEMBL3872116,Inhibition of CYP19 (unknown origin) using MFC as substrate and NADPH as cofactor preincubated for 10 mins with cofactor followed by substrate/enzyme addition measured after 30 mins by high throughput assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL3871305,1,Scientific Literature,Bioorg Med Chem Lett,2017.0,None,
CHEMBL451532,NARINGIN,0,580.54,3,-1.17,nagingin,C[C@@H]1O[C@@H](O[C@H]2[C@H](Oc3cc(O)c4c(c3)O[C@H](c3ccc(O)cc3)CC4=O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,IC50,'=',5000.0,nM,5.3,,,UO_0000065,9.13,0.18,6.47,2.36,False,CHEMBL958771,Inhibition of aromatase,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1157393,1,Scientific Literature,J. Nat. Prod.,2008.0,None,
CHEMBL29339,,0,288.39,0,2.91,13,CCCCCCC1(c2ccc(N)cc2)CCC(=O)NC1=O,IC50,'=',1500.0,nM,5.82,,,UO_0000065,20.19,0.38,2.91,8.07,True,CHEMBL765526,Inhibition of human placental aromatase,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1123329,1,Scientific Literature,J. Med. Chem.,1986.0,None,
CHEMBL444844,,0,232.28,0,1.56,Page 2677,CCC[C@]1(c2ccncc2)CCC(=O)NC1=O,IC50,'=',6000.0,nM,5.22,,,UO_0000065,22.48,0.42,3.66,8.84,False,CHEMBL663079,Inhibition of Cytochrome P450 19A1 in human placenta,B,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL1978,Cytochrome P450 19A1,Homo sapiens,SINGLE PROTEIN,CHEMBL1125058,1,Scientific Literature,J. Med. Chem.,1990.0,None,
